loan_id,gender,ageGroup,effortRate,savingsRate,distCrime,expenses,account_id,date,amount,duration,payments,status
5314,female,adult,83.24,16.76,6.11,0,1787,1993-07-05,96396,12,8033,-1
5316,male,adult,55.08,-445.0,4.85,41001,1801,1993-07-11,165960,36,4610,1
6863,male,adult,16.66,-24.59,5.39,13718,9188,1993-07-28,127080,60,2118,1
5325,female,adult,16.67,-14.24,7.11,17203,1843,1993-08-03,105804,36,2939,1
7240,male,adult,10.84,-3.64,15.34,39202,11013,1993-09-06,274740,60,4579,1
6687,male,kid,16.67,-5.92,6.44,19600,8261,1993-09-13,87840,24,3660,1
7284,male,adult,57.74,-87.81,6.33,9908,11265,1993-09-15,52788,12,4399,1
6111,female,adult,80.98,-300.51,8.54,28729,5428,1993-09-24,174744,24,7281,-1
7235,female,adult,35.87,-125.47,5.16,17003,10973,1993-10-13,154416,48,3217,1
5997,male,adult,16.67,27.62,7.26,16300,4894,1993-11-04,117024,24,4876,1
7121,female,adult,4.2,1.35,4.81,13688,10364,1993-11-10,21924,36,609,1
6077,male,adult,7.41,11.96,4.25,36079,5270,1993-11-22,79608,24,3317,1
6228,female,adult,90.59,-414.05,7.39,36189,6034,1993-12-01,464520,60,7742,-1
6356,male,adult,32.29,-243.08,5.0,25510,6701,1993-12-08,95400,36,2650,1
5523,female,adult,16.67,2.98,3.49,12575,2705,1993-12-08,93888,36,2608,1
6456,female,adult,40.71,-270.87,4.44,31775,7123,1993-12-09,47016,12,3918,1
7104,male,adult,16.67,23.87,5.03,15443,10320,1993-12-13,259740,60,4329,1
6820,female,adult,14.58,3.36,15.34,17893,9034,1993-12-16,38148,12,3179,1
6876,male,adult,75.02,-48.8,9.26,7100,9236,1993-12-21,86616,12,7218,1
7097,male,adult,31.84,-156.15,9.65,22200,10266,1993-12-23,75624,24,3151,-1
4959,female,adult,16.67,-0.69,15.34,17002,2,1994-01-05,80952,24,3373,1
6499,female,adult,16.67,-0.19,15.34,16902,7401,1994-01-05,80952,24,3373,1
5479,male,adult,16.29,-247.14,15.34,41492,2486,1994-01-10,24516,12,2043,1
5170,female,adult,42.66,-149.56,5.03,20469,1071,1994-01-20,253200,60,4220,1
6721,female,adult,9.0,48.45,7.43,4150,8475,1994-01-21,21072,24,878,1
7259,male,adult,23.95,-287.76,15.34,45625,11111,1994-01-31,108144,36,3004,1
5285,female,adult,52.45,-23.02,15.34,8850,1603,1994-02-06,78936,12,6578,1
5189,female,adult,32.27,-144.62,9.26,20432,1166,1994-02-07,149040,48,3105,1
6650,female,adult,45.71,-380.79,8.54,39118,8073,1994-02-17,49320,12,4110,-1
7226,male,adult,22.75,-18.74,4.15,23175,10940,1994-02-23,197748,36,5493,1
6087,male,adult,53.78,-288.92,10.79,31225,5313,1994-02-27,300660,60,5011,1
7262,male,adult,57.52,-74.69,6.21,10333,11135,1994-03-01,182628,36,5073,1
5519,male,adult,43.42,-48.95,9.64,18556,2694,1994-03-08,91632,12,7636,1
6577,female,adult,20.18,-335.65,11.46,44343,7753,1994-03-11,51696,24,2154,1
6509,female,adult,23.97,-198.55,4.44,26425,7445,1994-03-15,55368,24,2307,1
6520,male,adult,16.67,4.71,8.08,17926,7485,1994-03-16,91200,24,3800,1
6699,male,adult,1.51,-5.9,4.27,22046,8330,1994-03-30,7656,24,319,1
6336,female,adult,65.81,-284.99,6.38,28614,6555,1994-03-31,212400,36,5900,1
7055,male,adult,32.6,-452.52,3.86,44422,10079,1994-04-06,167100,60,2785,1
6103,male,adult,16.66,-15.55,4.25,14770,5385,1994-04-07,149340,60,2489,1
6202,male,adult,16.67,0.43,9.65,27023,5891,1994-04-18,65184,12,5432,1
7066,male,adult,47.71,3.65,15.34,6100,10131,1994-05-02,215388,36,5983,-1
6696,male,adult,14.05,-20.59,4.75,11253,8321,1994-05-09,89040,60,1484,1
6072,male,adult,59.91,-416.66,8.35,41080,5256,1994-05-10,193968,36,5388,1
5130,female,adult,16.67,24.88,4.03,7104,813,1994-05-11,24312,12,2026,1
5568,female,adult,44.86,-269.3,8.82,32846,2933,1994-05-17,272520,60,4542,1
6678,male,adult,16.39,-6.47,9.26,36786,8173,1994-05-20,80340,12,6695,1
6998,female,adult,16.67,-5.17,4.4,43205,9833,1994-05-21,97632,12,8136,1
6580,male,adult,47.37,-237.05,6.95,24982,7769,1994-05-22,196080,48,4085,1
6316,female,adult,73.21,-365.51,7.11,34342,6473,1994-05-26,76908,12,6409,-1
6512,female,adult,31.66,-80.46,7.43,6199,7454,1994-05-26,63312,48,1319,1
6407,female,adult,4.47,-0.92,10.04,23334,6930,1994-05-26,25944,24,1081,1
5002,female,adult,50.45,-32.88,3.46,14272,173,1994-05-31,104808,12,8734,1
6647,male,adult,16.67,0.25,15.34,21635,8051,1994-06-01,208320,48,4340,1
7137,male,adult,16.67,10.07,3.46,27761,10439,1994-06-03,151560,24,6315,1
6903,female,adult,22.51,-103.56,6.11,17472,9337,1994-06-04,52128,24,2172,1
5918,male,adult,44.1,-48.21,3.2,19687,4576,1994-06-04,300204,36,8339,1
6642,male,adult,16.67,10.06,4.25,28444,8027,1994-06-05,77640,12,6470,1
6210,male,adult,16.66,-13.38,6.33,10546,5927,1994-06-06,87216,48,1817,-1
6279,male,adult,40.6,-51.62,6.38,9953,6273,1994-06-07,87360,24,3640,1
7249,male,adult,12.19,-12.11,9.26,11846,11065,1994-06-12,69360,48,1445,1
6736,male,adult,38.32,-22.85,15.34,10600,8558,1994-06-14,288360,60,4806,1
6112,female,adult,75.26,-244.38,8.39,26038,5442,1994-06-17,174744,24,7281,-1
5319,female,adult,42.84,-175.46,10.79,21674,1811,1994-06-23,239460,60,3991,1
6596,female,adult,30.43,-106.0,15.34,22018,7844,1994-06-25,91584,24,3816,1
5837,female,adult,46.47,-224.74,4.82,24410,4260,1994-06-29,244560,60,4076,1
5657,female,adult,5.01,-64.27,3.49,13200,3354,1994-07-05,4980,12,415,1
5533,male,adult,55.24,-703.44,4.08,62864,2762,1994-07-05,111384,24,4641,1
6232,male,adult,154.1,-258.15,4.82,10176,6051,1994-07-08,276660,36,7685,-1
6888,female,kid,26.3,-143.88,15.34,27287,9265,1994-07-11,39576,12,3298,1
6066,male,adult,14.58,-5.27,4.75,45058,5228,1994-07-11,173808,24,7242,1
5549,female,adult,8.74,-60.32,9.26,14585,2824,1994-07-16,50460,60,841,1
5060,female,adult,33.5,-187.85,15.34,31898,426,1994-07-19,252060,60,4201,-1
6004,male,adult,68.49,-303.07,7.11,29289,4937,1994-07-23,143904,24,5996,1
5126,male,adult,43.81,-130.68,9.65,18494,790,1994-07-24,208128,48,4336,-1
7220,male,adult,29.08,-104.27,15.34,21971,10911,1994-07-28,131292,36,3647,1
6668,male,adult,10.07,-6.28,5.39,19831,8129,1994-07-30,74736,36,2076,1
5395,female,adult,102.44,-671.23,5.96,54239,2176,1994-07-30,299088,36,8308,-1
6836,male,adult,16.66,-26.01,7.07,20714,9093,1994-08-03,189300,60,3155,1
6064,female,adult,7.87,-10.8,4.81,15941,5215,1994-08-04,14628,12,1219,1
6919,female,adult,26.78,-109.43,15.34,22906,9403,1994-08-05,120888,36,3358,1
6841,female,adult,35.41,-260.64,8.82,32926,9104,1994-08-07,172080,48,3585,1
6038,female,adult,53.74,-169.23,15.34,27025,5120,1994-08-10,323472,48,6739,1
6729,male,adult,16.67,-15.34,6.95,36850,8519,1994-08-11,74688,12,6224,1
7198,female,adult,47.03,-67.87,5.96,9800,10788,1994-08-23,45768,12,3814,1
6686,female,adult,16.67,-8.63,5.42,34428,8260,1994-08-25,224604,36,6239,1
5836,female,adult,7.52,4.79,3.46,38679,4259,1994-08-27,79632,24,3318,1
7061,male,adult,58.09,-314.75,4.81,31183,10105,1994-08-27,121896,24,5079,1
5595,female,adult,16.67,-13.94,3.73,40314,3050,1994-09-02,82896,12,6908,1
5723,male,adult,21.96,-245.59,6.38,29013,3674,1994-09-10,23628,12,1969,1
6120,male,adult,11.96,-0.1,3.86,32109,5481,1994-09-11,209184,48,4358,1
6895,male,adult,35.3,-146.69,5.03,20913,9307,1994-09-19,41904,12,3492,1
5882,female,adult,73.74,-115.44,8.42,14062,4427,1994-09-26,87816,12,7318,1
5754,male,adult,13.85,-25.79,9.65,15532,3834,1994-09-28,23052,12,1921,1
6594,female,adult,93.64,6.36,3.73,0,7824,1994-09-28,189696,24,7904,-1
6738,female,adult,59.92,-188.4,11.46,24386,8566,1994-09-29,230220,36,6395,-1
6624,female,adult,68.11,-225.64,4.81,22516,7965,1994-09-30,71460,12,5955,1
6216,male,adult,16.67,-8.31,4.15,32361,5952,1994-09-30,141240,24,5885,1
6229,male,adult,2.22,-5.57,15.34,22805,6040,1994-10-02,11736,24,489,1
5887,male,adult,63.43,-169.27,3.73,17375,4448,1994-10-03,192744,36,5354,1
6808,male,adult,65.77,-224.21,4.44,24872,8982,1994-10-12,227880,36,6330,1
6297,male,adult,12.45,-4.07,11.46,10738,6363,1994-10-25,17508,12,1459,1
5161,female,adult,16.67,41.64,4.27,10233,1012,1994-10-28,98184,24,4091,1
5390,female,adult,29.11,-32.74,4.03,25253,2167,1994-10-30,170256,24,7094,1
6150,male,adult,67.98,-556.54,7.0,59898,5622,1994-11-02,83016,12,6918,1
6223,female,adult,7.83,0.46,15.34,14902,5991,1994-11-03,61056,48,1272,1
5032,male,adult,29.38,-195.57,4.82,23350,290,1994-11-03,123696,48,2577,1
6253,female,adult,10.81,-8.91,11.46,22600,6148,1994-11-04,59760,24,2490,1
6460,male,adult,31.1,-66.94,15.34,5905,7133,1994-11-06,48672,36,1352,1
6645,male,adult,31.1,-74.12,15.34,17936,8041,1994-11-06,140400,36,3900,1
5176,female,adult,93.87,-99.15,4.4,8998,1106,1994-11-12,192552,24,8023,-1
5269,female,adult,51.03,-212.79,5.42,23375,1527,1994-11-19,164052,36,4557,-1
5351,female,adult,16.67,-3.33,4.56,29641,1978,1994-12-04,205200,36,5700,1
5861,male,adult,24.22,-296.18,3.73,32892,4337,1994-12-08,51408,24,2142,1
5450,male,adult,16.67,-10.08,5.92,18653,2345,1994-12-11,199680,60,3328,1
7142,female,adult,57.34,-78.32,15.34,16982,10451,1994-12-19,482940,60,8049,-1
6306,female,adult,24.72,-38.11,5.42,14025,6425,1994-12-20,36684,12,3057,1
6272,female,adult,16.67,-14.52,11.46,39004,6226,1994-12-20,398640,60,6644,1
5044,male,adult,12.07,-16.72,9.65,14597,344,1994-12-21,100980,60,1683,1
5576,female,adult,20.76,-210.16,15.34,36293,2962,1994-12-21,31248,12,2604,1
7192,male,adult,38.4,-154.89,5.39,18163,10738,1994-12-21,115992,36,3222,1
5739,female,adult,74.24,-88.84,15.34,9826,3747,1995-01-02,76380,12,6365,1
6526,female,adult,96.68,-185.71,3.49,15667,7523,1995-01-03,288468,36,8013,1
5624,male,adult,42.67,-121.92,5.94,15555,3166,1995-01-03,177744,48,3703,-1
6244,male,adult,59.95,-311.6,15.34,44101,6118,1995-01-08,270648,36,7518,-1
5131,male,adult,24.23,-419.14,3.86,41390,816,1995-01-08,48624,24,2026,1
6960,female,adult,16.66,-28.42,15.34,21351,9640,1995-01-11,76416,24,3184,1
6358,male,adult,16.67,-13.33,4.27,13329,6715,1995-01-14,137880,60,2298,-1
5418,female,adult,81.97,-358.26,3.73,33275,2245,1995-01-16,347952,48,7249,1
6598,female,adult,14.89,-3.66,6.21,33826,7857,1995-01-18,68112,12,5676,1
5464,male,adult,88.8,-492.19,8.54,45260,2419,1995-01-30,95808,12,7984,1
6591,male,adult,4.91,-32.08,6.38,11234,7819,1995-02-02,20832,48,434,1
5724,male,adult,59.2,-106.76,15.34,13135,3678,1995-02-05,316140,60,5269,-1
6315,female,adult,9.35,-7.52,3.54,37747,6472,1995-02-06,43164,12,3597,1
5876,female,adult,13.78,-3.6,11.46,30046,4413,1995-02-08,221280,48,4610,1
6986,male,adult,29.62,-81.79,11.46,16241,9750,1995-02-11,151728,48,3161,-1
6294,male,adult,12.35,-128.94,7.22,23364,6353,1995-02-12,79920,60,1332,1
5132,male,adult,41.96,-41.79,5.92,21351,817,1995-02-17,538500,60,8975,1
5877,male,adult,37.38,-58.94,8.54,13175,4414,1995-02-23,97224,24,4051,1
6227,female,adult,5.87,-12.85,7.07,21434,6030,1995-03-04,28248,24,1177,1
7241,male,adult,56.14,-322.3,15.34,45920,11021,1995-03-04,168984,24,7041,-1
6737,female,adult,32.3,-269.9,5.03,33399,8564,1995-03-11,76680,24,3195,1
7004,female,kid,24.91,-28.0,7.11,22869,9869,1995-03-15,331560,60,5526,1
6169,male,adult,17.97,-25.94,3.47,10381,5700,1995-03-16,103680,60,1728,-1
5208,female,adult,24.28,-298.2,4.55,31985,1247,1995-03-16,99696,48,2077,-1
6694,female,adult,55.18,-192.52,7.0,24154,8316,1995-03-19,134784,24,5616,1
5599,female,adult,13.89,-27.76,10.79,10538,3064,1995-03-21,15420,12,1285,1
6546,female,adult,8.91,-22.32,15.34,16837,7607,1995-03-27,31728,24,1322,1
5414,male,adult,40.04,-113.29,8.39,16762,2228,1995-03-29,185952,48,3874,1
5453,female,adult,62.89,-110.84,4.28,10238,2361,1995-04-01,156672,36,4352,1
5740,female,adult,12.34,19.49,15.34,8550,3752,1995-04-02,18564,12,1547,1
5804,male,adult,39.6,-351.8,3.86,34472,4079,1995-04-05,158976,48,3312,1
6745,male,adult,20.48,-537.95,4.44,59425,8625,1995-04-10,47304,24,1971,1
6950,male,adult,40.88,-332.91,11.46,41841,9591,1995-04-11,104712,24,4363,1
6996,male,adult,16.67,-3.28,9.26,27411,9828,1995-04-13,126600,24,5275,1
5352,female,adult,57.62,-36.06,5.03,7760,1993,1995-04-15,68400,12,5700,-1
6151,female,adult,27.19,-25.96,3.54,13648,5628,1995-04-25,225420,60,3757,1
5310,female,adult,36.46,-44.57,4.28,20443,1762,1995-04-28,248148,36,6893,1
5045,male,adult,92.84,-300.11,4.27,25820,347,1995-05-01,187224,24,7801,-1
6929,male,adult,24.18,-250.29,15.34,40897,9472,1995-05-08,36396,12,3033,1
5151,female,adult,7.88,-19.4,7.43,44624,960,1995-05-24,189060,60,3151,1
5212,female,adult,12.93,-19.24,6.38,16237,1256,1995-05-29,71064,36,1974,1
5138,female,adult,17.46,-21.51,3.86,10826,854,1995-05-30,87216,48,1817,1
5713,male,adult,16.67,-18.31,4.27,16134,3629,1995-05-30,158760,60,2646,1
6704,male,adult,78.6,-309.49,3.73,29260,8377,1995-06-01,417060,60,6951,1
6474,female,adult,13.05,-34.22,5.0,9805,7190,1995-06-06,63360,60,1056,1
6676,male,adult,11.5,18.35,7.22,7567,8159,1995-06-13,29784,24,1241,1
6965,female,adult,65.96,-619.03,3.54,57561,9656,1995-06-13,139536,24,5814,1
6725,male,adult,41.86,-48.91,4.08,18847,8489,1995-06-23,265320,36,7370,1
7166,male,adult,63.69,-46.0,10.04,10676,10630,1995-06-24,198240,24,8260,1
7138,male,adult,13.58,-33.23,8.35,8814,10440,1995-07-03,60000,60,1000,1
5970,female,adult,41.33,-41.64,3.46,23515,4774,1995-07-09,465072,48,9689,1
6157,female,adult,16.67,3.17,8.82,19760,5650,1995-07-10,98592,24,4108,1
6153,male,kid,51.14,-169.08,5.92,20283,5632,1995-07-25,285600,60,4760,1
5693,female,adult,11.34,-14.66,6.73,16741,3489,1995-08-01,44088,24,1837,1
5922,female,adult,18.93,-208.73,6.73,25789,4580,1995-08-05,20220,12,1685,1
5959,female,adult,12.55,-6.81,5.44,33691,4727,1995-08-11,107640,24,4485,1
5980,female,adult,16.67,1.7,6.33,8734,4825,1995-08-18,21396,12,1783,1
6764,male,adult,5.26,1.09,4.44,12609,8776,1995-08-26,33984,48,708,1
