effortRate,savingsRate,distCrime,expenses,age,amount,duration,payments,status,gender,ageGroup,month,day
83.24,16.76,6.11,0,50,96396,12,8033,-1,0,0,7,5
55.08,-445.0,4.85,41001,29,165960,36,4610,1,1,0,7,11
16.66,-24.59,5.39,13718,61,127080,60,2118,1,1,0,7,28
16.67,-14.24,7.11,17203,57,105804,36,2939,1,0,0,8,3
10.84,-3.64,15.34,39202,19,274740,60,4579,1,1,0,9,6
16.67,-5.92,6.44,19600,12,87840,24,3660,1,1,1,9,13
57.74,-87.81,6.33,9908,24,52788,12,4399,1,1,0,9,15
80.98,-300.51,8.54,28729,49,174744,24,7281,-1,0,0,9,24
35.87,-125.47,5.16,17003,28,154416,48,3217,1,0,0,10,13
16.67,27.62,7.26,16300,62,117024,24,4876,1,1,0,11,4
4.2,1.35,4.81,13688,38,21924,36,609,1,0,0,11,10
7.41,11.96,4.25,36079,27,79608,24,3317,1,1,0,11,22
32.29,-243.08,5.0,25510,26,95400,36,2650,1,1,0,12,8
16.67,2.98,3.49,12575,47,93888,36,2608,1,0,0,12,8
40.71,-270.87,4.44,31775,40,47016,12,3918,1,0,0,12,9
16.67,23.87,5.03,15443,18,259740,60,4329,1,1,0,12,13
14.58,3.36,15.34,17893,32,38148,12,3179,1,0,0,12,16
75.02,-48.8,9.26,7100,36,86616,12,7218,1,1,0,12,21
31.84,-156.15,9.65,22200,39,75624,24,3151,-1,1,0,12,23
16.67,-0.69,15.34,17002,57,80952,24,3373,1,0,0,1,5
16.67,-0.19,15.34,16902,57,80952,24,3373,1,0,0,1,5
16.29,-247.14,15.34,41492,39,24516,12,2043,1,1,0,1,10
42.66,-149.56,5.03,20469,47,253200,60,4220,1,0,0,1,20
9.0,48.45,7.43,4150,33,21072,24,878,1,0,0,1,21
23.95,-287.76,15.34,45625,40,108144,36,3004,1,1,0,1,31
52.45,-23.02,15.34,8850,40,78936,12,6578,1,0,0,2,6
32.27,-144.62,9.26,20432,29,149040,48,3105,1,0,0,2,7
45.71,-380.79,8.54,39118,52,49320,12,4110,-1,0,0,2,17
22.75,-18.74,4.15,23175,29,197748,36,5493,1,1,0,2,23
53.78,-288.92,10.79,31225,47,300660,60,5011,1,1,0,2,27
57.52,-74.69,6.21,10333,38,182628,36,5073,1,1,0,3,1
43.42,-48.95,9.64,18556,36,91632,12,7636,1,1,0,3,8
20.18,-335.65,11.46,44343,29,51696,24,2154,1,0,0,3,11
23.97,-198.55,4.44,26425,58,55368,24,2307,1,0,0,3,15
16.67,4.71,8.08,17926,39,91200,24,3800,1,1,0,3,16
1.51,-5.9,4.27,22046,38,7656,24,319,1,1,0,3,30
65.81,-284.99,6.38,28614,31,212400,36,5900,1,0,0,3,31
32.6,-452.52,3.86,44422,24,167100,60,2785,1,1,0,4,6
16.66,-15.55,4.25,14770,34,149340,60,2489,1,1,0,4,7
16.67,0.43,9.65,27023,40,65184,12,5432,1,1,0,4,18
47.71,3.65,15.34,6100,38,215388,36,5983,-1,1,0,5,2
14.05,-20.59,4.75,11253,21,89040,60,1484,1,1,0,5,9
59.91,-416.66,8.35,41080,25,193968,36,5388,1,1,0,5,10
16.67,24.88,4.03,7104,42,24312,12,2026,1,0,0,5,11
44.86,-269.3,8.82,32846,56,272520,60,4542,1,0,0,5,17
16.39,-6.47,9.26,36786,19,80340,12,6695,1,1,0,5,20
