Id,Predicted
5895,0.227
7122,0.471
6173,0.051
6142,0.087
5358,0.425
6095,0.019
6878,0.409
6554,0.278
6793,0.152
7286,0.399
6076,0.094
5134,0.376
5419,0.49
6255,0.717
5656,0.735
6934,0.502
6028,0.339
6490,0.016
6415,0.476
7087,0.138
5420,0.481
5977,0.264
6824,0.493
5207,0.029
7115,0.496
7250,0.604
6010,0.462
6088,0.824
5682,0.026
7201,0.034
6938,0.13
6875,0.099
5953,0.022
5942,0.062
5382,0.012
6377,0.025
5931,0.556
5992,0.032
5790,0.759
6753,0.67
6562,0.373
7046,0.463
5868,0.163
5784,0.302
5878,0.27
5110,0.423
5210,0.023
7230,0.034
5005,0.214
6871,0.774
5363,0.552
7253,0.166
6055,0.375
5072,0.149
6913,0.234
6386,0.213
5634,0.2
5758,0.641
6819,0.106
7088,0.018
5039,0.019
5532,0.142
6037,0.039
6322,0.164
6887,0.053
6660,0.04
5451,0.211
6014,0.014
5556,0.642
6346,0.146
5850,0.484
5940,0.035
7119,0.05
5253,0.313
6851,0.448
6695,0.024
6908,0.926
7255,0.029
5674,0.218
6278,0.186
5486,0.492
5174,0.106
6621,0.461
6313,0.725
6435,0.016
6970,0.025
6310,0.53
5932,0.643
6877,0.447
6763,0.226
7085,0.709
7049,0.477
6959,0.262
5214,0.133
6350,0.364
5063,0.659
5041,0.442
5086,0.92
6942,0.003
5270,0.432
6705,0.252
7051,0.451
6758,0.287
6249,0.136
5808,0.088
5377,0.35
5446,0.092
5856,0.381
4986,0.253
7001,0.012
6677,0.087
6665,0.019
5817,0.636
6984,0.705
6541,0.047
5117,0.64
6097,0.042
5389,0.006
7219,0.011
6338,0.246
6922,0.072
5367,0.071
5638,0.412
5830,0.33
5338,0.024
6007,0.007
6612,0.236
5718,0.0
6104,0.397
5229,0.126
6625,0.421
5206,0.396
5963,0.447
4990,0.257
6641,0.003
5369,0.015
6196,0.548
5236,0.058
5719,0.566
5643,0.042
7050,0.395
6355,0.092
6688,0.005
6239,0.303
5531,0.02
6113,0.136
7181,0.341
6118,0.209
7264,0.168
5343,0.03
5051,0.308
5779,0.306
6605,0.449
6655,0.573
6534,0.463
5681,0.744
6607,0.362
6242,0.008
7242,0.072
7277,0.038
6675,0.012
5398,0.29
5956,0.002
5731,0.364
6956,0.043
6437,0.108
5447,0.154
5973,0.04
6075,0.341
5281,0.344
5103,0.007
6468,0.008
7209,0.376
5584,0.002
4988,0.431
6502,0.299
5651,0.065
4962,0.296
5862,0.102
7199,0.245
6727,0.137
7279,0.099
6544,0.093
5933,0.005
6574,0.4
6399,0.043
7187,0.004
6353,0.01
5043,0.082
5469,0.28
5976,0.163
6059,0.302
5799,0.017
6147,0.451
6254,0.256
7100,0.033
7147,0.59
5909,0.036
7037,0.468
5782,0.011
6237,0.305
6552,0.063
7067,0.306
5320,0.584
5930,0.566
6486,0.264
5245,0.39
6643,0.016
5260,0.179
5569,0.357
7110,0.583
7139,0.051
6791,0.16
5360,0.131
5287,0.529
6553,0.426
7072,0.197
6044,0.355
5332,0.037
6866,0.034
6633,0.731
6926,0.147
6442,0.815
5889,0.53
5765,0.722
5124,0.028
5491,0.48
6730,0.095
7151,0.684
5140,0.586
7171,0.07
6568,0.507
6861,0.114
6855,0.188
7129,0.022
5384,0.057
6859,0.596
5772,0.108
5665,0.051
6495,0.603
5061,0.102
6948,0.797
5773,0.651
6052,0.069
6682,0.171
6083,0.076
6962,0.681
5158,0.392
6464,0.042
5172,0.063
5582,0.047
6136,0.7
6235,0.196
6508,0.305
4968,0.304
6632,0.149
7195,0.703
5525,0.255
6320,0.135
6766,0.049
6872,0.364
5906,0.175
7172,0.017
6571,0.035
5616,0.748
6312,0.047
6470,0.72
5147,0.009
5501,0.694
6436,0.156
5699,0.599
5313,0.097
6234,0.02
6569,0.059
7202,0.217
5683,0.219
5034,0.251
5435,0.033
5815,0.13
5589,0.446
6746,0.073
6790,0.554
6857,0.034
6450,0.023
7221,0.177
5527,0.668
5620,0.724
6215,0.032
7167,0.049
5823,0.507
6207,0.037
6932,0.036
5669,0.399
5154,0.257
7168,0.014
5585,0.279
7200,0.015
6539,0.012
5774,0.088
6357,0.001
5042,0.25
5015,0.278
5354,0.251
6054,0.687
7295,0.532
5365,0.53
6755,0.742
5991,0.101
7035,0.264
5893,0.049
7164,0.004
5304,0.011
5561,0.043
5520,0.014
5241,0.172
7096,0.313
6078,0.003
5046,0.266
5334,0.314
6969,0.066
6821,0.43
5760,0.076
5614,0.005
7091,0.328
5698,0.076
5169,0.629
7294,0.003
5318,0.279
5368,0.018
6923,0.018
5463,0.003
5265,0.295
6321,0.373
5226,0.633
6868,0.002
4967,0.508
5293,0.058
5865,0.193
5841,0.142
5526,0.013
6852,0.0
6469,0.003
6168,0.354
7292,0.386
5036,0.019
5644,0.056
6856,0.144
5428,0.155
5027,0.006
4989,0.217
5221,0.162
6402,0.027
5346,0.087
6748,0.126
