Id,Predicted
5895,0.481
7122,0.382
6173,0.07
6142,0.187
5358,0.222
6095,0.089
6878,0.089
6554,0.169
6793,0.154
7286,0.2
6076,0.244
5134,0.247
5419,0.247
6255,0.514
5656,0.412
6934,0.595
6028,0.128
6490,0.018
6415,0.546
7087,0.043
5420,0.444
5977,0.143
6824,0.403
5207,0.019
7115,0.568
7250,0.218
6010,0.586
6088,0.559
5682,0.083
7201,0.106
6938,0.029
6875,0.087
5953,0.047
5942,0.09
5382,0.003
6377,0.01
5931,0.653
5992,0.024
5790,0.319
6753,0.413
6562,0.45
7046,0.47
5868,0.079
5784,0.312
5878,0.205
5110,0.538
5210,0.048
7230,0.005
5005,0.157
6871,0.25
5363,0.427
7253,0.078
6055,0.386
5072,0.06
6913,0.188
6386,0.078
5634,0.082
5758,0.53
6819,0.137
7088,0.065
5039,0.041
5532,0.064
6037,0.023
6322,0.39
6887,0.028
6660,0.033
5451,0.338
6014,0.068
5556,0.197
6346,0.098
5850,0.648
5940,0.031
7119,0.064
5253,0.137
6851,0.248
6695,0.036
6908,0.89
7255,0.037
5674,0.511
6278,0.315
5486,0.425
5174,0.089
6621,0.319
6313,0.458
6435,0.036
6970,0.024
6310,0.091
5932,0.155
6877,0.312
6763,0.103
7085,0.597
7049,0.43
6959,0.271
5214,0.153
6350,0.498
5063,0.594
5041,0.435
5086,0.418
6942,0.018
5270,0.466
6705,0.418
7051,0.528
6758,0.188
6249,0.039
5808,0.011
5377,0.663
5446,0.049
5856,0.427
4986,0.445
7001,0.032
6677,0.065
6665,0.092
5817,0.59
6984,0.837
6541,0.087
5117,0.591
6097,0.057
5389,0.016
7219,0.009
6338,0.406
6922,0.039
5367,0.039
5638,0.316
5830,0.382
5338,0.04
6007,0.027
6612,0.394
5718,0.0
6104,0.442
5229,0.029
6625,0.493
5206,0.603
5963,0.435
4990,0.488
6641,0.009
5369,0.03
6196,0.776
5236,0.062
5719,0.655
5643,0.11
7050,0.571
6355,0.106
6688,0.0
6239,0.466
5531,0.027
6113,0.045
7181,0.583
6118,0.382
7264,0.03
5343,0.028
5051,0.282
5779,0.523
6605,0.218
6655,0.581
6534,0.42
5681,0.834
6607,0.358
6242,0.0
7242,0.022
7277,0.082
6675,0.036
5398,0.386
5956,0.014
5731,0.502
6956,0.024
6437,0.102
5447,0.412
5973,0.033
6075,0.677
5281,0.479
5103,0.006
6468,0.01
7209,0.337
5584,0.01
4988,0.429
6502,0.112
5651,0.018
4962,0.112
5862,0.17
7199,0.183
6727,0.054
7279,0.472
6544,0.127
5933,0.025
6574,0.3
6399,0.031
7187,0.012
6353,0.031
5043,0.07
5469,0.42
5976,0.281
6059,0.357
5799,0.023
6147,0.23
6254,0.515
7100,0.023
7147,0.302
5909,0.031
7037,0.207
5782,0.026
6237,0.211
6552,0.246
7067,0.376
5320,0.744
5930,0.658
6486,0.411
5245,0.346
6643,0.015
5260,0.492
5569,0.422
7110,0.108
7139,0.021
6791,0.229
5360,0.127
5287,0.169
6553,0.222
7072,0.035
6044,0.313
5332,0.013
6866,0.041
6633,0.499
6926,0.067
6442,0.184
5889,0.379
5765,0.759
5124,0.205
5491,0.321
6730,0.108
7151,0.583
5140,0.207
7171,0.064
6568,0.179
6861,0.041
6855,0.073
7129,0.11
5384,0.026
6859,0.317
5772,0.035
5665,0.004
6495,0.27
5061,0.092
6948,0.257
5773,0.443
6052,0.013
6682,0.015
6083,0.03
6962,0.458
5158,0.533
6464,0.012
5172,0.033
5582,0.004
6136,0.728
6235,0.035
6508,0.152
4968,0.152
6632,0.484
7195,0.417
5525,0.497
6320,0.234
6766,0.005
6872,0.32
5906,0.401
7172,0.009
6571,0.049
5616,0.718
6312,0.021
6470,0.482
5147,0.0
5501,0.656
6436,0.045
5699,0.774
5313,0.011
6234,0.0
6569,0.006
7202,0.287
5683,0.287
5034,0.1
5435,0.037
5815,0.182
5589,0.457
6746,0.057
6790,0.534
6857,0.061
6450,0.039
7221,0.07
5527,0.588
5620,0.229
6215,0.025
7167,0.093
5823,0.702
6207,0.033
6932,0.04
5669,0.414
5154,0.215
7168,0.046
5585,0.678
7200,0.002
6539,0.004
5774,0.099
6357,0.006
5042,0.241
5015,0.476
5354,0.296
6054,0.504
7295,0.49
5365,0.5
6755,0.547
5991,0.019
7035,0.353
5893,0.156
7164,0.027
5304,0.036
5561,0.058
5520,0.021
5241,0.26
7096,0.185
6078,0.005
5046,0.136
5334,0.416
6969,0.033
6821,0.42
5760,0.313
5614,0.022
7091,0.429
5698,0.021
5169,0.515
7294,0.004
5318,0.342
5368,0.017
6923,0.023
5463,0.012
5265,0.212
6321,0.075
5226,0.488
6868,0.013
4967,0.334
5293,0.027
5865,0.333
5841,0.027
5526,0.063
6852,0.0
6469,0.022
6168,0.656
7292,0.307
5036,0.041
5644,0.121
6856,0.217
5428,0.206
5027,0.06
4989,0.36
5221,0.151
6402,0.055
5346,0.094
6748,0.075
